repositoryGitHubSlug,npmPackageName,versionOfInterest,versionOfInterestReleaseDate
JakeSidSmith/react-reorder,react-reorder,1.3.0,2015-11-17T20:47:31.749Z
none,netshow-screen-plugin,0.6.42,2019-07-05T09:20:27.641Z
rehooks/window-size,@rehooks/window-size,1.0.2,2018-10-25T19:03:13.051Z
KingMario/packages,ngx-trim-directive,1.0.5,2019-07-20T01:35:18.677Z
maxrimue/parent-package-json,parent-package-json,1.1.0,2016-01-09T10:34:50.211Z
choojs/nanohtml,nanohtml,1.6.1,2019-04-26T19:31:06.455Z
kubp/storybook-groups,storybook-groups,0.0.4,2017-07-28T12:35:46.593Z
scholtzm/node-steam-groups,steam-groups,2.0.0,2015-07-17T19:38:02.962Z
ckeditor/ckeditor5,@ckeditor/ckeditor5-build-classic,0.2.0,2017-05-07T21:44:35.660Z
ember-cli/ember-cli-terser,ember-cli-terser,4.0.0,2020-09-08T18:21:29.538Z
Brightspace/node-ecdsa-sig-formatter,ecdsa-sig-formatter,1.0.7,2016-06-18T15:26:07.961Z
dkundel/node-env-run,node-env-run,2.0.0,2017-07-26T16:42:45.687Z
nodef/extra-build,extra-build,1.0.208,2020-06-29T15:29:51.224Z
sverweij/dependency-cruiser,dependency-cruiser,5.4.0,2019-11-27T20:58:45.278Z
trusktr/geometry-interfaces,geometry-interfaces,1.1.0,2017-05-13T05:06:30.528Z
atom/node-keytar,keytar,4.11.0,2019-06-27T10:14:08.694Z
babel/babel/tree/master/packages/babel-plugin-syntax-export-extensions,babel-plugin-syntax-export-extensions,6.1.17,2015-11-12T21:41:36.709Z
kgryte/github-create-issue,github-create-issue,1.0.0,2016-03-21T10:11:45.603Z
https://gitlab.wegolook.io/development/joi-objectid,@wegolook/joi-objectid,0.1.0,2016-04-21T19:05:30.656Z
form-data/form-data,form-data,2.2.0,2017-06-11T08:46:00.717Z
sapics/geoip-country,geoip-country,3.1.9,2016-06-15T02:41:08.091Z
glenjamin/skin-deep,skin-deep,0.6.0,2015-09-17T15:08:52.187Z
haven-life/supertype,@havenlife/supertype,3.3.0,2019-05-24T18:45:34.726Z
niwaringo/moji,moji,0.4.0,2015-07-14T14:01:29.740Z
lithiumtech/karma-threshold-reporter,karma-threshold-reporter,0.1.15,2015-02-05T23:41:16.792Z
Woorank/robots-txt-parse,robots-txt-parse,1.0.0,2017-11-29T15:31:58.130Z
svenheden/csharp-models-to-typescript,csharp-models-to-typescript,0.19.0,2020-11-24T14:32:11.550Z
canjs/can-observable-array,can-observable-array,1.1.1,2020-06-16T19:55:26.226Z
sergioramos/JSONStream2,jsonstream2,1.1.2,2018-11-27T00:23:29.457Z
ministryofjustice/fb-components-core,@ministryofjustice/fb-components-core,0.0.149,2019-08-01T15:20:02.013Z
JKHeadley/rest-hapi,rest-hapi,0.5.0,2017-01-11T06:11:20.835Z
aurelia/tools,aurelia-tools,0.2.3,2016-06-20T15:19:20.838Z
1hella/eslint-config-airbnb-es5,eslint-config-airbnb-es5,1.0.4,2015-08-13T02:11:54.950Z
HaoyCn/run-plugin-webpack,run-plugin-webpack,1.0.0,2018-10-24T09:16:01.721Z
azure/azure-event-hubs-node,azure-event-hubs,0.2.9,2018-09-12T05:07:10.254Z
selaux/eslint-plugin-filenames,eslint-plugin-filenames,1.2.0,2017-04-14T10:41:27.693Z
elliotttf/semantic-release-conventional-commits,semantic-release-conventional-commits,1.0.2,2017-02-17T22:22:43.369Z
browserify/browser-unpack,browser-unpack,1.3.0,2018-06-13T09:49:08.817Z
rehypejs/rehype-raw,rehype-raw,4.0.1,2019-06-01T09:27:13.205Z
jonschlinkert/mixin-deep,mixin-deep,1.1.0,2015-04-30T00:52:05.053Z
flosse/sloc,sloc,0.2.1,2018-12-13T15:29:19.770Z
rochejul/gulp-angular-protractor,gulp-angular-protractor,0.4.2,2017-03-06T19:36:25.690Z
postmanlabs/postman-collection-transformer,postman-collection-transformer,2.7.0,2018-09-10T19:55:38.697Z
honeycombio/beeline-nodejs,honeycomb-beeline,2.0.0,2020-01-07T19:16:27.569Z
chalk/supports-color,supports-color,5.1.0,2017-12-11T19:56:38.670Z
jaredhanson/passport,passport,0.4.1,2019-12-09T15:49:08.158Z
ethereumjs/rlp,rlp,2.2.4,2019-11-01T20:34:35.585Z
lennym/moment-business-time,moment-business-time,0.7.1,2017-08-15T13:04:58.419Z
shaketbaby/directory-named-webpack-plugin,directory-named-webpack-plugin,4.0.1,2019-03-08T03:50:08.763Z
appoptics/appoptics-apm-node,appoptics-apm,7.1.0,2020-02-20T11:45:52.719Z
jonschlinkert/expand-pkg,expand-pkg,0.1.1,2016-03-29T07:52:21.437Z
sindresorhus/indent-string,indent-string,1.2.1,2015-02-16T17:55:58.704Z
lwdgit/gitbook-plugin-search-plus,gitbook-plugin-search-plus,0.0.6,2016-12-31T09:12:09.508Z
Kikobeats/debug-logfmt,debug-logfmt,1.0.4,2019-10-07T11:27:02.596Z
splitio/javascript-client,@splitsoftware/splitio,9.0.0,2017-04-17T22:23:44.123Z
Mike-Dax/node-detective-less,detective-less,1.0.2,2018-09-26T01:24:58.051Z
wix/react-native-ui-lib,react-native-ui-lib,0.0.4,2017-03-02T12:41:13.024Z
git+ssh://git@bitbucket.org/elliipins/flaglib,flaglib,0.1.0,2016-07-20T08:01:24.196Z
intlify/eslint-plugin-vue-i18n,@intlify/eslint-plugin-vue-i18n,0.8.1,2020-08-07T21:50:36.649Z
yidinghan/koa2-winston,koa2-winston,2.5.0,2018-07-29T05:17:57.634Z
